id,name,specification,effective_dose_mg,cost_per_kg,cost_per_test,supplier_url,transparency_note
16,Lion's Mane extract (Fruiting body),"Polysaccharides ≥15%,Beta-glucans ≥10%,Hericenones ≥1%",120,140,0,https://www.alibaba.com/product-detail/Hericium-Erinaceus-Lion-s-mane-mushroom_60728847835.html,
17,Lion's Mane extract (Mycelium; ethanol extract),"3% Erinacines Fruit Body, 3% Herierin",120,120,200,https://www.alibaba.com/product-detail/Hericium-erinaceus-mushroom-extract-lion-s_1600059868791.html,
18,Zinc glycinate,≥ 99%,2,79,100,https://www.alibaba.com/product-detail/Supply-Food-Grade-Zinc-Glycinate_62427168386.html,
19,Quercetin,≥ 95%,200,75,100,https://www.alibaba.com/product-detail/Rainbow-supply-high-quality-natural-sophora_62326663887.html,
20,Garlic extract,2% Allicin,100,67,200,https://www.alibaba.com/product-detail/Natrual-Allicin-Powder-Garlic-Extract_1600062861206.html,
21,Maitake mushroom extract,30%-50% Polysaccharides,100,70,200,https://www.alibaba.com/product-detail/factory-price-in-stock-30-50_60207580361.html,
22,Reshi mushroom extract,"Polysaccharide ≥20%, β-glucan ≥10%, Triterpene≥4%",150,170,200,https://www.alibaba.com/product-detail/Reishi-mushroom-Ganoderma-Lucidum-dual-extract_60728554186.html,
23,Turkey tail mushroom extract,Polysaccharides 25%-50%,120,55,200,https://www.alibaba.com/product-detail/Improve-Immunity-Polysaccharides-Turkey-Tail-Extract_62542049120.html,
24,Ashwagandha extract (KSM-66™),3% Withanolide,200,103,200,https://www.alibaba.com/product-detail/SONWU-Ashwagandha-Extract-Powder-Ashwagandha-KSM_1600055424831.html,
25,Curcumin extract,≥ 95%,400,85,0,https://www.alibaba.com/product-detail/Natural-Turmeric-Extract-Curcumin-Powder-95_62189299642.html,
26,Xylitol,≥ 99%,25,400,0,https://www.alibaba.com/product-detail/ISO-Lyphar-Supply-Best-Quality-Sweeteners_60655219614.html,
27,Aloe Vera gel (Dried; soluble in water),100:1,200,155,0,https://www.alibaba.com/product-detail/Aloe-Vera-Extract-Aloe-Vera-Gel_62072801566.html,
28,Colloidal silver,2000ppm (1-15nm),20,60,0,https://www.alibaba.com/product-detail/UIVCHEM-agriculture-grade-nano-silver-solution_62588009405.html,
29,Baking soda,≥ 99%,300,1,0,https://www.amazon.com/Baking-Soda-50-Bag-Baking-Cleaning-Feed-Sodium/dp/B07XK9W33H,
30,Peppermint oil,100% pure,40,45,0,https://www.amazon.com/Pack-Peppermint-Essential-Therapeutic-Bottles/dp/B07L6NC8BT,
31,Spearmint oil,100% pure,40,60,0,https://www.amazon.com/Spearmint-Large-ounce-Best-Essential/dp/B00RY7CMA8/,
32,Clove oil,100% pure,40,60,0,https://www.amazon.com/dp/B00S5FGZ10/ref=twister_B084JCK45B,
33,Tea Tree oil,100% pure,40,50,0,https://www.amazon.com/Tree-Mega-16oz-Best-Essential/dp/B00RY7CPP0/,
34,Calcium Citrate,≥ 97.5%,400,15,100,https://www.alibaba.com/product-detail/Hot-sale-food-additive-with-lowest_60719085267.html,
